"Jméno","Příjmení","Email","Ulice","Město","Odebrání zásilky"



"Natálie","Nováková","viki@gmail.cz","Pod Hanuší","Opava","Česká pošta"
"Pavel","Hulva","pavel.hulva@seznam.cz","Slezská 50","Pardubice","Osobní odběr"
"Marek","Neděla","mareknedela@seznam.cz","Květinová 456","Hradec Králové","DPD"
"Markéta","Mazurová","mmmm{","hradec","Opava","Česká pošta"
"Pavel","Novotný","pave@noto.cz","Výšková 15","Plzeň","DPD"
"Petr","Pavel","petr@gmail.com","Hradní","Praha","Česká pošta"
"Pavel","Novotný","nevim","Květinová 456","Opava","Osobní odběr"
